Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
GAC,GS8,2020,Saudi,Blue,Full,2,Gas,Automatic,Used,29200,Jeddah,80000,FALSE
Toyota,Furniture,2017,Saudi,White,Semi Full,,Gas,Automatic,Used,400000,Riyadh,60000,FALSE
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,108708,Riyadh,24000,FALSE
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,124758,Riyadh,24000,FALSE
Nissan,Sunny,2017,Saudi,Black,Standard,1.5,Gas,Automatic,Used,158218,Riyadh,24500,FALSE
Kia,Cadenza,2017,Saudi,Silver,Standard,3.3,Gas,Automatic,Used,83000,Riyadh,50000,FALSE
Nissan,Maxima,2017,Saudi,Grey,Full,1,Gas,Automatic,Used,860000,Riyadh,77000,FALSE
Hyundai,Azera,2018,Saudi,Brown,Semi Full,3.5,Gas,Automatic,Used,79000,Riyadh,75000,FALSE
Genesis,G80,2018,Saudi,White,Semi Full,3.8,Gas,Automatic,Used,97000,Riyadh,98000,FALSE
Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,Used,122000,Riyadh,50000,FALSE
Hyundai,Azera,2017,Saudi,White,Full,3,Gas,Automatic,Used,168000,Riyadh,55000,FALSE
Nissan,Maxima,2017,Saudi,Brown,Semi Full,1,Gas,Automatic,Used,121000,Riyadh,64000,FALSE
Toyota,Land Cruiser,2015,Saudi,White,Full,1,Gas,Automatic,Used,300000,Riyadh,135000,FALSE
Chevrolet,Caprice,2015,Saudi,Black,Standard,6,Gas,Automatic,Used,264000,Riyadh,69000,FALSE
Dodge,Challenger,2017,Other,White,Full,3.6,Gas,Automatic,Used,113000,Dammam,99000,FALSE
Honda,Accord,2018,Gulf Arabic,Golden,Full,2.4,Gas,Automatic,Used,75000,Dammam,92000,FALSE
Lexus,ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,Used,88000,Dammam,115000,FALSE
Nissan,Datsun,2015,Saudi,White,Semi Full,2,Gas,Manual,Used,182000,Dammam,29000,FALSE
Chevrolet,Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,Used,94000,Dammam,106000,FALSE
Genesis,G80,2020,Saudi,Grey,Semi Full,3.8,Gas,Automatic,Used,11000,Riyadh,125000,FALSE
Ford,Taurus,2018,Other,Black,Full,,Gas,Automatic,Used,100000,Dammam,89000,FALSE
Ford,Taurus,2015,Other,Black,Semi Full,,Gas,Automatic,Used,103000,Dammam,78000,FALSE
Hyundai,Tucson,2019,Saudi,White,Semi Full,1,Gas,Automatic,Used,67000,Riyadh,75000,FALSE
Kia,Cadenza,2018,Saudi,Silver,Standard,3.3,Gas,Automatic,Used,94000,Riyadh,55000,FALSE
Hyundai,Elantra,2019,Saudi,Grey,Standard,2,Gas,Automatic,Used,95000,Riyadh,52000,FALSE
Hyundai,Accent,2017,Saudi,Grey,Semi Full,1.4,Gas,Automatic,Used,147000,Riyadh,29000,FALSE
Genesis,Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,Used,140000,Riyadh,88000,FALSE
GMC,Yukon,2016,Saudi,Bronze,Full,6.2,Gas,Automatic,Used,152000,Riyadh,122000,FALSE
Toyota,Land Cruiser,2018,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,61312,Riyadh,270000,FALSE
Nissan,Sunny,2017,Saudi,Grey,Standard,1.5,Gas,Automatic,Used,152973,Riyadh,24500,FALSE
